ScenarioId,Category,Difficulty,ServSafeVersion,Scenario,Choice1,Choice2,Choice3,CorrectChoice,Explanation
11,Receiving & Storage,2,8,Un manipulador de alimentos está fechando y rotando el stock en el área de almacenamiento seco. ¿Qué método debe usar?,UEPS - Último en Entrar Primero en Salir,PEPS - Primero en Entrar Primero en Salir,Usar los artículos con la fecha de vencimiento más próxima al último,2,PEPS (Primero en Entrar Primero en Salir) garantiza que el producto más antiguo se use antes que el nuevo.
12,Receiving & Storage,3,8,Se entrega pescado fresco a su cocina. ¿Cuál es la temperatura correcta de recepción y qué debe verificar además de la temperatura?,41°F o menos; verificar que la carne esté firme y tenga un olor suave a mar,45°F o menos; verificar que los ojos estén claros,38°F o menos; verificar solo el empaque,1,El pescado fresco debe llegar a 41°F o menos. Los indicadores de calidad incluyen carne firme y un olor suave a mar.
13,Food Preparation,1,8,Un manipulador de alimentos está descongelando un gran pavo congelado. ¿Qué método NO es aceptable?,Descongelar en el refrigerador a 41°F o menos,Descongelar en el mostrador a temperatura ambiente,Descongelar bajo agua fría corriente,2,"Descongelar a temperatura ambiente permite que las capas externas del alimento entren a la zona de peligro mientras el interior aún está congelado. Los métodos aceptables son el refrigerador, agua fría corriente, microondas y cocción desde congelado."
14,Food Preparation,2,8,Un cocinero está preparando una marinada que se usó con pollo crudo y quiere usarla como salsa. ¿Qué debe suceder primero?,Usarla tal cual ya que estuvo refrigerada,Llevarla a ebullición durante al menos 1 minuto,Desecharla y hacer salsa nueva,2,Una marinada que contactó carne cruda debe llevarse a ebullición completa antes de usarse como salsa para eliminar los patógenos transferidos del pollo crudo.
15,Cleaning & Sanitizing,1,8,Un manipulador de alimentos limpia una mesa de preparación con un paño y pasa a la siguiente tarea. ¿Qué paso omitió?,Debería haber usado un limpiador más fuerte,Debería haber sanitizado la superficie después de limpiarla,Debería haber enjuagado la superficie con agua caliente,2,La limpieza elimina suciedad y partículas de alimentos pero no mata patógenos. La sanitización debe seguir a la limpieza en todas las superficies de contacto con alimentos para reducir los patógenos a niveles seguros.
16,Cleaning & Sanitizing,2,8,Un lavaplatos está usando la máquina sanitizante de alta temperatura. ¿Cuál es la temperatura mínima requerida para el enjuague final?,145°F,165°F,180°F,3,Las máquinas lavaplatos de alta temperatura deben alcanzar una temperatura de enjuague final de al menos 180°F para sanitizar adecuadamente los platos y equipos.
17,Facility & Equipment,2,8,Un gerente nota que el lavamanos de la cocina tiene suministros de limpieza almacenados dentro. ¿Qué debe hacer?,Dejarlo - el fregadero sigue siendo accesible si se necesita,Retirar los suministros de inmediato y mantener el lavamanos despejado en todo momento,Mover los suministros a un lado del fregadero,2,Los lavamanos siempre deben estar completamente accesibles y usarse solo para lavado de manos. Almacenar cualquier cosa en o bloquear un lavamanos es una violación grave.
18,Food Safety Management,1,8,Un manipulador de alimentos nota un pequeño excremento de ratón cerca de los estantes de almacenamiento seco. ¿Cuál es la respuesta correcta?,Poner una trampa y monitorear la situación,Limpiarlo e informar al gerente de inmediato,Ignorarlo si es solo un excremento,2,Cualquier señal de plagas debe reportarse al gerente de inmediato. Un solo excremento indica una infestación activa. El gerente debe contactar a un operador de control de plagas con licencia.
19,Food Safety Management,2,8,Un gerente está estableciendo un plan HACCP para su operación. ¿Qué significa HACCP y cuál es su propósito principal?,Plan de Control de Salud y Limpieza - para capacitar al personal,Análisis de Peligros y Puntos Críticos de Control - para identificar y controlar los peligros de seguridad alimentaria,Proceso de Verificación de Higiene y Contaminación - para pasar inspecciones,2,"HACCP son las siglas de Análisis de Peligros y Puntos Críticos de Control. Es un enfoque preventivo sistemático para la seguridad alimentaria que identifica peligros físicos, químicos y biológicos."
20,Food Safety Management,3,8,Un inspector de salud llega durante una hora pico del almuerzo. Un gerente nervioso le pide al inspector que vuelva más tarde. ¿Qué debe hacer el gerente en su lugar?,Pedir al inspector que espere hasta después de la hora pico,Cooperar completamente y permitir acceso inmediato,Llamar al dueño antes de permitir la entrada,2,Los inspectores de salud deben tener acceso inmediato durante las horas de operación. Retrasar o negar la entrada es una violación y puede resultar en multas o cierre. Cooperar profesionalmente es siempre la respuesta correcta.
21,Facility & Equipment,2,9,¡Oh no! El agua está subiendo por los desagües del piso y hay un olor terrible. ¿Qué debe hacer?,"Por suerte acabamos de recibir ventiladores, podemos mantener el olor lejos de los clientes",Llamar a la autoridad regulatoria y cerrar,Hacer que todos empiecen a trapear,2,"El reflujo de aguas residuales es un problema crítico de salud, debe cerrar y llamar a su agencia regulatoria local."
22,Food Safety Management,2,9,Se acaban de terminar las tortillas de 50 cm y hoy es Cinco de Mayo. ¿Qué debe hacer?,Informar amablemente a los clientes que no hay tortillas,"Cerrar la tienda, ¿cómo vamos a seguir abiertos sin tortillas?","Por suerte hay una tienda de comestibles al lado, enviar a alguien a comprar las tortillas",1,"Quedarse sin producto en este día tan ocupado es estresante, pero solo obtenemos productos de proveedores autorizados. Incluso si la tienda de comestibles es una cadena importante, no puede obtener productos de ellos. ¿Qué pasa si ese producto fuera retirado del mercado?"
23,Food Safety Management,3,9,Un empleado acaba de sacar un asado del horno y 3 minutos después tomó la temperatura y era 147°F. ¿Hizo algo mal el empleado?,"No, la temperatura mínima para un asado cocinado es 145°F",Un asado grande necesita cocinarse a 155°F,La temperatura estaba bien pero el empleado necesitaba esperar 4 minutos antes de tomar la temperatura,3,"Los 4 minutos son clave aquí, debe mantener la temperatura de 145°F durante cuatro minutos."
