ID,DOT,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Category,Subcategory,Explanation,MustInclude,Difficulty
20,3-401.11,¿Cuál es la temperatura interna mínima de cocción para animales de caza criados comercialmente?,135°F por 15 segundos,165°F por 15 segundos,155°F por 15 segundos,145°F por 15 segundos,3,Time & Temperature,Cooking,"Los animales de caza criados comercialmente requieren 155°F por 15 segundos debido a la posible contaminación por patógenos durante el procesamiento, similar a la carne molida.",0,3
21,3-401.11,¿Cuál es la temperatura interna mínima de cocción para frutas y verduras cocinadas para mantenimiento caliente?,135°F,165°F,155°F,145°F,1,Time & Temperature,Cooking,"Las frutas y verduras cocinadas para mantenimiento caliente deben alcanzar 135°F, lo que destruye patógenos que pueden crecer en productos frescos mientras preserva la calidad del alimento.",0,2
22,3-501.14,¿Cuál es el requisito de enfriamiento en dos etapas para alimentos TCS?,"135°F a 70°F en 4 horas, luego a 41°F en 2 horas","135°F a 70°F en 3 horas, luego a 41°F en 3 horas más","135°F a 70°F en 2 horas, luego a 41°F en 4 horas más",135°F a 41°F en un total de 6 horas,3,Time & Temperature,Cooling,"El requisito de enfriamiento en dos etapas es 135°F a 70°F en 2 horas, luego de 70°F a 41°F en las siguientes 4 horas, para un tiempo total de enfriamiento de 6 horas.",0,3
23,3-501.14,¿Qué debe hacer si el alimento no se ha enfriado de 135°F a 70°F en 2 horas?,Moverlo al congelador para acelerar el enfriamiento,Transferirlo a una bandeja más plana y continuar enfriando,Continuar enfriando y verificar nuevamente en 30 minutos,Recalentarlo a 165°F y reiniciar el proceso de enfriamiento,4,Time & Temperature,Cooling,"Si la primera etapa de enfriamiento falla, el alimento debe recalentarse a 165°F y reiniciarse el proceso. Continuar enfriando alimento inseguro no es aceptable.",0,2
24,3-501.15,¿Cuál es el mejor tipo de recipiente para enfriar alimento caliente rápidamente?,Una olla honda y tapada,Una bandeja poco profunda con gran superficie,Un recipiente plástico sellado,Una bandeja de hotel estándar con tapa,2,Time & Temperature,Cooling,"Las bandejas poco profundas tienen una gran relación superficie-volumen, lo que permite que el calor escape más rápido y ayuda al alimento a enfriarse a través de la zona de peligro.",0,2
25,3-501.15,¿Cuál es el método correcto para enfriar alimento en bandejas poco profundas?,Colocarlas tapadas en el estante superior,Apilarlas para ahorrar espacio en el enfriador,Colocarlas destapadas en el enfriador para permitir que el calor escape,Envolverlas herméticamente con plástico para evitar contaminación,3,Time & Temperature,Cooling,Las bandejas poco profundas colocadas destapadas en el enfriador permiten que el calor escape desde una gran superficie y que el aire frío circule alrededor del alimento.,0,2
26,3-501.14,¿Cuál es el mejor método para enfriar rápidamente una olla grande de chile?,Agregar agua fría directamente a la olla para bajar la temperatura,Dejarlo destapado a temperatura ambiente hasta que deje de humear,Usar una paleta de hielo y colocar la olla en un baño de hielo,Dividir en recipientes más pequeños tapados y refrigerar,3,Time & Temperature,Cooling,"Una paleta de hielo agitada en el chile, combinada con un baño de hielo alrededor del recipiente, elimina el calor del centro y el exterior simultáneamente.",0,3
27,3-501.16,¿Cuántas horas acumuladas puede un alimento TCS frío permanecer por encima de 41°F antes de desecharse?,6 horas,8 horas,2 horas,4 horas,4,Time & Temperature,Cold Holding,El alimento TCS frío que sube por encima de 41°F entra a la zona de peligro de temperatura y debe desecharse después de un total acumulado de 4 horas en ese rango.,0,2
28,3-501.16,Se encuentra un alimento frío a 50°F. ¿Qué debe hacer?,Desecharlo a menos que pueda confirmar que ha estado por encima de 41°F durante menos de 4 horas,Transferirlo de inmediato a una unidad más fría,Servirlo de inmediato antes de que se caliente más,Agregar hielo para bajar la temperatura y continuar manteniendo,1,Time & Temperature,Cold Holding,"El alimento frío a 50°F ha estado en la zona de peligro. A menos que pueda confirmar que ha estado allí menos de 4 horas en total, debe desecharlo.",0,2
29,3-501.19,¿Qué debe hacerse cuando se mantiene alimento frío sin control de temperatura?,Mantenerlo tapado en todo momento para ralentizar el calentamiento,Etiquetarlo con la hora en que debe desecharse,Removerlo cada hora para distribuir la temperatura,Agregar hielo cada 2 horas para mantener la seguridad,2,Time & Temperature,Time as Control,"Al usar el tiempo como control, el alimento frío debe etiquetarse con la hora en que debe desecharse para que el personal pueda rastrear el máximo de 6 horas.",0,2
30,3-501.16,"Al usar el tiempo como control de salud pública para alimento caliente, ¿cuál es el tiempo máximo permitido de mantenimiento?",8 horas,4 horas,6 horas,2 horas,2,Time & Temperature,Time as Control,"Al usar el tiempo como control de salud pública para alimento caliente, el tiempo máximo permitido es 4 horas, después de lo cual el alimento debe desecharse.",0,2
31,3-501.16,El alimento en mantenimiento caliente ha estado por debajo de 135°F durante más de 4 horas acumuladas. ¿Qué debe hacer?,Servirlo de inmediato para terminar el lote,Agregar agua caliente para elevar la temperatura,Recalentarlo a 165°F y devolverlo a la mesa de vapor,Desecharlo,4,Time & Temperature,Hot Holding,El alimento que ha estado por debajo de 135°F durante más de 4 horas acumuladas ha superado el límite de tiempo seguro en la zona de peligro y debe desecharse.,0,2
32,3-501.17,¿Cuál es la temperatura correcta de recepción para alimentos TCS fríos?,32°F o menos,41°F o menos,50°F o menos,45°F o menos,2,Time & Temperature,Date Marking,Los alimentos TCS fríos deben recibirse a 41°F o menos para asegurar que se hayan mantenido fuera de la zona de peligro de temperatura durante el transporte.,0,2
33,3-302.11,¿Dónde deben almacenarse las aves de corral crudas en un cuarto frío?,En el estante más bajo por debajo de todos los demás alimentos,Junto a la carne de res cruda en el mismo estante,Encima de los mariscos crudos,En el estante del medio alejado de los productos frescos,1,Cross-Contamination,Storage Order,Las aves de corral crudas se almacenan en el estante más bajo porque tienen la temperatura de cocción más alta requerida y representan el mayor riesgo de contaminación cruzada si gotean.,0,2
34,3-302.11,¿Cuál es el orden correcto de almacenamiento en el refrigerador de arriba a abajo?,Cortes enteros > Mariscos > Carne molida > Listos para comer > Aves,Listos para comer > Mariscos > Cortes enteros > Carne molida > Aves,Carne molida > Aves > Cortes enteros > Mariscos > Listos para comer,Mariscos > Cortes enteros > Carne molida > Aves > Listos para comer,2,Cross-Contamination,Storage Order,Los alimentos se almacenan según la temperatura mínima de cocción requerida con los listos para comer arriba y las aves abajo para evitar que los artículos de mayor riesgo goteen sobre los de menor riesgo.,0,3
35,3-302.11,¿Qué tabla de cortar debe usarse para el pollo crudo?,Una tabla designada solo para aves,Una tabla usada solo para proteínas crudas,Cualquier tabla limpia y sanitizada,Una tabla que no se haya usado en ese turno,1,Cross-Contamination,Equipment Use,Una tabla de cortar dedicada a las aves evita que los patógenos del pollo crudo contaminen productos frescos o alimentos listos para comer preparados en la misma superficie.,0,3
36,3-304.11,¿Cuál de los siguientes es un ejemplo de contaminación cruzada?,Enjuagarse los guantes entre tareas en lugar de cambiarlos,Usar tablas de cortar codificadas por colores para diferentes alimentos,Almacenar carne cruda debajo de los alimentos listos para comer,Usar las mismas pinzas para pollo crudo y cocinado,4,Cross-Contamination,General,"Usar las mismas pinzas para pollo crudo y cocinado transfiere directamente patógenos a alimentos que no se cocinarán nuevamente, lo cual es contaminación cruzada.",0,2
37,3-304.11,¿Cuál de los siguientes es un ejemplo de prevención de contaminación cruzada?,Usar los mismos guantes para todas las tareas para ahorrar tiempo,Almacenar carne cruda en el estante encima de ensaladas listas para comer,Usar una tabla de cortar para todos los alimentos y sanitizarla entre usos,Usar equipo separado para alimentos crudos y listos para comer,4,Cross-Contamination,General,El equipo dedicado para alimentos crudos versus listos para comer garantiza que los patógenos de productos crudos nunca entren en contacto con alimentos servidos sin cocción adicional.,0,2
38,3-304.14,¿Con qué frecuencia deben analizarse los cubos de sanitizante durante el día?,Solo cuando la solución se vea turbia o descolorida,Una vez al abrir y una vez al cerrar,Regularmente durante el turno para mantener la concentración adecuada,Solo al inicio de cada turno,3,Cross-Contamination,Sanitizer Use,La solución sanitizante se degrada con el tiempo y el uso. La verificación regular con tiras reactivas garantiza que mantenga la concentración necesaria para eliminar patógenos eficazmente.,0,2
39,3-304.14,¿Con qué frecuencia deben reemplazarse los paños almacenados en solución sanitizante?,Cada 2 horas en un horario fijo,Cada hora independientemente de su estado,Al inicio de cada nueva tarea,Cuando la solución se ensucie o pierda concentración,4,Cross-Contamination,Sanitizer Use,La solución sanitizante pierde efectividad cuando se ensucia o se diluye. Los paños deben moverse a solución fresca para mantener la fuerza sanitizante adecuada.,0,2
40,3-304.14,¿Qué debe hacerse con un paño usado para limpiar un derrame de carne cruda?,Continuar usándolo ya que ya está sucio,Guardarlo en el cubo de sanitizante y usarlo en otras superficies,Enjuagarlo bien y devolverlo al cubo de sanitizante,Lavarlo o desecharlo - no reutilizarlo en otras superficies,4,Cross-Contamination,Sanitizer Use,Los paños usados en derrames de carne cruda están muy contaminados y deben lavarse o desecharse. Enjuagarlos o guardarlos en sanitizante no los hace seguros para otras superficies.,0,2
41,3-302.12,¿Cuál es la manera correcta de manejar alérgenos durante la preparación de alimentos?,Lavarse las manos entre tareas con y sin alérgenos,Usar equipo separado dedicado a artículos sin alérgenos,Usar guantes al manipular ingredientes con alérgenos,Preparar artículos sin alérgenos en una superficie recién sanitizada,2,Cross-Contamination,Allergens,El contacto cruzado con alérgenos puede ocurrir incluso con cantidades mínimas. El equipo separado evita que las proteínas alérgenas lleguen a comidas destinadas a ser libres de alérgenos.,0,2
42,3-302.11,¿Cuándo deben prepararse las comidas sin alérgenos?,"Primero, antes de manipular cualquier alimento con alérgenos, o por separado con equipo dedicado",Durante los períodos más tranquilos cuando la cocina está menos ocupada,"Al último, para poder limpiar el equipo dedicado después",Después de completar todos los demás pedidos,1,Cross-Contamination,Allergens,"Las comidas sin alérgenos deben prepararse primero, antes de manipular alimentos con alérgenos, o por separado usando equipo dedicado para evitar el contacto cruzado.",0,2
43,3-602.11,¿Qué debe incluirse en un alimento envasado que contiene alérgenos?,Una declaración que enumere los alérgenos que contiene,El nombre del empleado que lo preparó,Las instrucciones de almacenamiento del artículo,La fecha y hora de preparación,1,Cross-Contamination,Allergens,Una declaración de alérgenos en alimentos envasados es obligatoria para que los clientes con alergias alimentarias puedan hacer elecciones informadas y seguras.,1,2
44,3-302.11,¿Cuál de los siguientes alimentos es uno de los nueve alérgenos principales reconocidos por la FDA?,Maíz,Tomates,Ajo,Cacahuates,4,Cross-Contamination,Allergens,Los cacahuates son uno de los nueve alérgenos alimentarios principales reconocidos por la FDA y se encuentran entre las causas más comunes de reacciones anafilácticas severas.,0,2
45,3-302.11,¿Qué alimento es más probable que cause una reacción alérgica severa?,Nueces de árbol,Arroz blanco,Ejotes,Zanahorias,1,Cross-Contamination,Allergens,Las nueces de árbol son uno de los nueve alérgenos alimentarios principales y se encuentran entre las causas más comunes de reacciones alérgicas potencialmente mortales.,0,2
46,3-302.11,¿Cómo deben almacenarse los ingredientes con alérgenos?,Separados de otros ingredientes y claramente etiquetados,En el estante más bajo para evitar goteos,Junto a otros ingredientes para ahorrar espacio,Junto a proteínas crudas para fácil identificación,1,Cross-Contamination,Allergens,Los ingredientes con alérgenos almacenados por separado y claramente etiquetados evitan el uso accidental en platos sin alérgenos y permiten al personal identificarlos rápidamente.,0,2
47,3-304.11,¿Cuál de las siguientes opciones previene mejor el contacto cruzado con alérgenos?,Usar utensilios separados dedicados a la preparación de comidas sin alérgenos,Preparar primero los platos con alérgenos,Lavar los utensilios entre tareas con y sin alérgenos,Almacenar los alérgenos con otros ingredientes en el mismo estante,1,Cross-Contamination,Allergens,Usar utensilios separados para comidas sin alérgenos evita que las proteínas alérgenas se transfieran a alimentos que el cliente cree que son seguros para su alergia.,0,1
48,3-304.15,¿Cuándo deben cambiarse los guantes de uso único?,Solo cuando estén visiblemente rotos o sucios,"Después de manipular carne cruda, tocar superficies no alimentarias, o después de uso prolongado",Después de cada 30 minutos de uso continuo,Después de completar cada tarea individual,2,Cross-Contamination,Glove Use,"Los guantes deben cambiarse después de manipular carne cruda, después de tocar superficies no alimentarias, y después de uso prolongado para evitar transferir contaminación.",0,2
49,3-304.15,¿Cuándo deben cambiar sus guantes los manipuladores de alimentos?,Solo al pasar de proteínas crudas a productos frescos,Solo después de 4 horas de uso continuo,Al cambiar entre tareas que involucran diferentes alimentos o superficies,Solo cuando los guantes estén visiblemente sucios,3,Cross-Contamination,Glove Use,"Los guantes deben cambiarse al cambiar de tarea, después de uso prolongado, y después de tocar superficies no alimentarias. Las tres situaciones requieren guantes nuevos.",0,2
50,3-302.11,¿Dónde deben almacenarse los productos químicos en una instalación de servicio de alimentos?,En el estante superior encima de los productos secos,En un área designada lejos de todos los alimentos y equipos de contacto con alimentos,Junto al equipo de limpieza para fácil acceso,Debajo de la mesa de preparación cuando no se usen,2,Cross-Contamination,Chemical Safety,Los productos químicos deben almacenarse lejos de todos los alimentos y equipos de contacto con alimentos para evitar la contaminación química accidental.,0,2
51,3-302.11,¿Qué debe hacerse si se encuentran productos químicos almacenados cerca de alimentos?,Dejarlos si los recipientes están sellados,Almacenarlos en el estante superior del área de productos secos,Moverlos de inmediato a un área de almacenamiento designada lejos de los alimentos,Colocarlos debajo de la mesa de preparación fuera del camino,3,Cross-Contamination,Chemical Safety,"Los productos químicos almacenados cerca de alimentos representan un riesgo de contaminación incluso cuando están sellados, debido a derrames, fugas o identificación errónea.",0,2
52,2-301.12,¿Cuánto tiempo deben frotarse las manos durante el lavado?,30 a 60 segundos,20 a 30 segundos,10 a 15 segundos,5 a 8 segundos,3,Personal Hygiene,Handwashing,Frotar durante 10 a 15 segundos con jabón crea suficiente fricción para eliminar patógenos y suciedad de las manos y entre los dedos.,0,2
53,2-301.14,¿Cuándo deben lavarse las manos los manipuladores de alimentos?,Solo después de usar el baño,Después de cada tarea individual durante un turno,"Después de usar el baño, tocar carne cruda, y antes de ponerse guantes",Solo al moverse entre áreas de alimentos crudos y cocinados,3,Personal Hygiene,Handwashing,"El lavado de manos es obligatorio después de usar el baño, antes de ponerse guantes, y después de tocar carne cruda. Las tres son ocasiones obligatorias de higiene de manos.",0,2
54,2-301.12,¿Qué acción requiere que un manipulador de alimentos se lave las manos?,Manipular equipo sucio,Estar parado cerca del área de preparación,Hablar con un compañero de trabajo,Caminar por el comedor,1,Personal Hygiene,Handwashing,"Manipular equipo sucio introduce patógenos en las manos, requiriendo lavado de manos inmediato antes de regresar a la preparación de alimentos.",0,2
55,2-301.12,¿Qué acción requiere lavado de manos?,Tocar una mesa de preparación,Hablar con un compañero que usa mascarilla,Manipular aves de corral crudas,Caminar por el comedor,3,Personal Hygiene,Handwashing,"Manipular aves de corral crudas introduce patógenos en las manos, requiriendo lavado de manos inmediato antes de tocar cualquier otra superficie o alimento.",0,1
56,2-301.13,¿Cuál es la temperatura mínima del agua requerida para el lavado de manos?,Al menos 80°F,Al menos 100°F,Al menos 90°F,Al menos 120°F,2,Personal Hygiene,Handwashing,El agua debe estar al menos a 100°F para eliminar eficazmente aceites y patógenos de la piel durante el lavado de manos adecuado.,0,2
57,2-301.13,¿Cuál es la secuencia correcta para el lavado de manos?,Mojar las manos > Frotar sin jabón > Aplicar jabón > Enjuagar > Secar,Enjuagar > Aplicar jabón > Frotar > Mojar las manos > Secar,Aplicar jabón > Frotar > Mojar las manos > Enjuagar > Secar,Mojar las manos > Aplicar jabón > Frotar 10-15 segundos > Enjuagar > Secar,4,Personal Hygiene,Handwashing,"La secuencia correcta de lavado de manos es: mojar las manos, aplicar jabón, frotar durante 10 a 15 segundos, enjuagar bien, y secar con una toalla de un solo uso o secador de aire.",0,2
58,2-301.15,¿Cuándo es aceptable usar un antiséptico para manos?,Como reemplazo del lavado de manos antes de ponerse guantes,Como complemento después de completar un lavado de manos adecuado,Cuando los lavamanos están ocupados,Cuando las manos no están visiblemente sucias,2,Personal Hygiene,Handwashing,"El antiséptico para manos solo puede usarse después de un lavado de manos adecuado. Es un complemento, no un reemplazo, y no elimina suciedad ni materia orgánica.",0,2
59,2-303.11,¿Qué tipo de joyería está permitida para los manipuladores de alimentos?,Una pulsera de alerta médica,Un anillo de banda simple sin piedras ni engastes,Una pulsera fina de cadena,Una muñequera de silicona,2,Personal Hygiene,Jewelry,"Un anillo de banda simple es la única joyería permitida porque no tiene grietas para atrapar partículas de alimentos o patógenos, a diferencia de pulseras, relojes o anillos con piedras.",0,2
60,2-303.11,¿Por qué un anillo de banda simple es la única joyería que puede usar un manipulador de alimentos?,Es más fácil ponerse guantes con una banda simple,Se ve más profesional en un entorno de cocina,Su superficie lisa es mucho menos probable que albergue bacterias que los anillos con piedras o engastes,Lo requieren la mayoría de los códigos de salud locales,3,Personal Hygiene,Jewelry,"Un anillo de banda simple tiene una superficie lisa sin engastes ni grietas, lo que lo hace mucho menos probable de albergar bacterias en comparación con los anillos ornamentados o con gemas.",0,2
61,2-303.11,¿Por qué está restringida la joyería para los manipuladores de alimentos?,Puede caer en el alimento y causar un peligro físico,Interfiere con ponerse guantes correctamente,Se ve poco profesional en un entorno de servicio de alimentos,Sus ranuras y grietas pueden albergar patógenos que el lavado de manos no puede eliminar completamente,4,Personal Hygiene,Jewelry,"La joyería tiene ranuras y grietas que atrapan humedad, partículas de alimentos y patógenos, haciendo imposible el lavado de manos exhaustivo y aumentando el riesgo de contaminación.",0,2
62,2-201.11,¿Cuándo debe excluirse a un manipulador de alimentos de la operación?,Cuando se le diagnostica Norovirus,Cuando tiene dolor de garganta leve,Cuando tiene un corte infectado en el dedo,Cuando se siente cansado después de un turno largo,1,Personal Hygiene,Illness,Un diagnóstico de Norovirus requiere la exclusión de la operación porque es una enfermedad altamente contagiosa que puede transmitirse a través de la manipulación de alimentos.,0,2
63,2-201.11,¿Qué síntoma requiere que un manipulador de alimentos sea excluido de la operación?,Fatiga,Ictericia,Dolor de cabeza,Dolor de garganta sin fiebre,2,Personal Hygiene,Illness,"La ictericia es un síntoma de Hepatitis A, una enfermedad transmitida por alimentos altamente contagiosa que requiere exclusión inmediata de la operación y notificación a la autoridad de salud.",0,2
64,2-201.12,¿Qué debe hacer un gerente si un manipulador de alimentos reporta vómitos en el trabajo?,Monitorear sus síntomas y reevaluar después de una hora,Reasignarlo a tareas de limpieza lejos de alimentos abiertos,Excluirlo completamente de la operación,Hacer que use guantes y mascarilla y continúe trabajando,3,Personal Hygiene,Illness,Los vómitos son un síntoma de posible enfermedad transmitida por alimentos y requieren exclusión total. Reasignar a tareas no alimentarias no es suficientemente seguro para este síntoma.,0,1
65,2-201.12,¿Qué debe hacer un gerente cuando a un manipulador de alimentos se le diagnostica Hepatitis A?,Permitirle trabajar con guantes y mascarilla,Notificar a la autoridad regulatoria y excluir al manipulador de alimentos,Reasignarlo solo a tareas no alimentarias,Hacer que use mascarilla y monitorear síntomas diariamente,2,Personal Hygiene,Illness,La Hepatitis A es una enfermedad de notificación obligatoria. El gerente debe notificar a la autoridad regulatoria de inmediato y excluir al manipulador de alimentos de la operación.,0,2
66,2-401.11,¿Qué debe hacer un manipulador de alimentos si está experimentando tos y estornudos?,Trabajar solo en áreas lejos de alimentos abiertos,Quedarse en casa o ser reasignado lejos de la manipulación de alimentos,Usar guantes y mascarilla mientras trabaja,Aumentar la frecuencia del lavado de manos durante el turno,2,Personal Hygiene,Illness,La tos y los estornudos pueden esparcir patógenos respiratorios a los alimentos. Un manipulador de alimentos con estos síntomas debe quedarse en casa o ser reasignado lejos de los alimentos.,0,2
67,2-401.11,¿Qué debe hacer un manipulador de alimentos con tos persistente?,Aumentar el lavado de manos y el uso de guantes,Trabajar solo con ingredientes crudos que se cocinarán completamente,Usar mascarilla y continuar trabajando,Evitar trabajar directamente con alimentos,4,Personal Hygiene,Illness,Una tos persistente puede esparcir gotitas respiratorias y posibles patógenos a los alimentos y superficies de contacto con alimentos. El manipulador de alimentos no debe trabajar con alimentos.,0,2
68,4-601.11,¿Qué debe hacerse con una tabla de cortar que tiene ranuras o cortes profundos?,Remojarla en solución sanitizante durante la noche,Sanitizarla con mayor frecuencia para compensar,Reservarla solo para productos secos,Reemplazarla con una nueva,4,Cleaning & Sanitizing,Equipment,Las ranuras profundas atrapan alimentos y bacterias que no pueden eliminarse con lavado o sanitización. La tabla debe reemplazarse para mantener una superficie de contacto con alimentos segura.,0,2
69,4-601.11,¿Qué debe hacerse con equipo que no puede limpiarse o sanitizarse adecuadamente?,Usarlo solo durante períodos lentos cuando el riesgo es menor,Reservarlo solo para almacenamiento de productos secos,Retirarlo del servicio,Sanitizarlo con mayor frecuencia para compensar,3,Cleaning & Sanitizing,Equipment,El equipo que no puede limpiarse a fondo alberga bacterias independientemente de la frecuencia de sanitización y debe retirarse del servicio para proteger la seguridad alimentaria.,0,2
70,4-601.11,¿Qué debe hacerse con utensilios almacenados en agua estancada que está por debajo de 135°F?,Moverlos a un área de almacenamiento seco,Recalentar el agua a 165°F y continuar usándolos,Continuar usándolos ya que están sumergidos en líquido,Desechar los utensilios y reemplazarlos con limpios,4,Cleaning & Sanitizing,Utensil Storage,El agua estancada por debajo de 135°F está en la zona de peligro de temperatura y puede albergar bacterias. Los utensilios almacenados de esta manera están contaminados y deben reemplazarse.,0,3
