ID,Category,Fact
34,Personal Hygiene,Las manos deben secarse con una toalla de papel de un solo uso o secador de aire después del lavado.
35,Personal Hygiene,Un anillo de banda simple es la única joyería permitida para los manipuladores de alimentos.
36,Personal Hygiene,"Las uñas deben mantenerse cortas, limpias y sin esmalte para evitar albergar patógenos."
37,Personal Hygiene,Un manipulador de alimentos con vómitos o diarrea debe ser excluido de la operación de inmediato.
38,Personal Hygiene,"Las cinco enfermedades de notificación obligatoria en el servicio de alimentos son Norovirus, Hepatitis A, Salmonella Typhi, Shigella y E. coli O157:H7."
39,Personal Hygiene,La ictericia es un síntoma de Hepatitis A y requiere exclusión inmediata y notificación a la autoridad regulatoria.
40,Personal Hygiene,Una herida infectada en la mano debe cubrirse con un vendaje y protegerse con un guante de un solo uso.
41,Personal Hygiene,Los manipuladores de alimentos solo pueden beber en áreas de preparación de alimentos desde un recipiente tapado con pajilla.
42,Receiving & Storage,Los alimentos TCS fríos deben recibirse a 41°F o menos.
43,Receiving & Storage,Los huevos con cáscara y los mariscos sin concha pueden recibirse a 45°F o menos.
44,Receiving & Storage,Los mariscos vivos deben recibirse a una temperatura de aire de 45°F o menos.
45,Receiving & Storage,Los alimentos TCS calientes recibidos en una entrega caliente deben llegar a 135°F o más.
46,Receiving & Storage,Los alimentos congelados deben recibirse completamente sólidos sin señales de descongelación o recongelación.
47,Receiving & Storage,"Las conservas abolladas, hinchadas, oxidadas o que gotean siempre deben rechazarse en la recepción."
48,Receiving & Storage,Las etiquetas de mariscos deben conservarse archivadas durante 90 días desde la fecha en que se vendió el último marisco.
49,Receiving & Storage,El método PEPS — Primero en Entrar Primero en Salir — garantiza que el stock más antiguo se use antes que el nuevo.
50,Receiving & Storage,Los productos secos deben almacenarse al menos 15 cm del suelo para permitir la limpieza y disuadir plagas.
51,Receiving & Storage,El pollo crudo debe almacenarse en el estante más bajo de cualquier refrigerador o cuarto frío.
52,Receiving & Storage,Las frutas listas para comer y los alimentos cocinados deben almacenarse en el estante superior por encima de todas las proteínas crudas.
53,Receiving & Storage,Los grandes cristales de hielo en alimentos congelados indican que se descongelaron y recongelaron durante el transporte y deben rechazarse.
54,Receiving & Storage,Los refrigeradores que contienen alimentos TCS deben mantener una temperatura de 41°F o menos en todo momento.
55,Receiving & Storage,Una entrega que llega con empaque adulterado o roto debe rechazarse independientemente de la temperatura.
56,Food Preparation,"Los cuatro métodos de descongelación aprobados son refrigeración, agua fría corriente, microondas y cocción desde congelado."
57,Food Preparation,El alimento descongelado en microondas debe cocinarse inmediatamente después de la descongelación.
58,Food Preparation,El alimento descongelado bajo agua corriente debe mantenerse bajo agua a 70°F o menos.
59,Food Preparation,"Los productos frescos deben lavarse bajo agua fría corriente antes de cortar, pelar o cocinar."
60,Food Preparation,El hielo siempre debe manejarse con una cuchara — nunca con las manos descubiertas o un vaso.
61,Food Preparation,Deben usarse utensilios separados para proteínas crudas y alimentos listos para comer para prevenir la contaminación cruzada.
62,Food Preparation,"Los alimentos contaminados por productos químicos, vidrio u otros peligros físicos deben desecharse de inmediato."
63,Food Preparation,La cocción parcial debe limitarse a no más de 60 minutos antes de terminar la cocción del alimento.
64,Food Preparation,Los asados de carne de res entera pueden cocinarse a 145°F pero deben mantenerse a esa temperatura por 4 minutos.
65,Food Preparation,El alimento con abuso de tiempo-temperatura debe desecharse — recalentarlo o enfriarlo no lo hace seguro nuevamente.
66,Cleaning & Sanitizing,La limpieza elimina suciedad y materia orgánica mientras que la sanitización reduce los patógenos a niveles seguros.
67,Cleaning & Sanitizing,Una superficie siempre debe limpiarse antes de poder sanitizarse efectivamente.
68,Cleaning & Sanitizing,"El orden correcto para un fregadero de tres compartimentos es lavar, enjuagar, sanitizar y secar al aire."
69,Cleaning & Sanitizing,El compartimento de lavado de un fregadero de tres compartimentos debe estar al menos a 110°F.
70,Cleaning & Sanitizing,El sanitizante de cloro debe mantenerse entre 50 y 99 ppm para ser efectivo y seguro.
71,Cleaning & Sanitizing,El sanitizante de yodo debe mantenerse entre 12.5 y 25 ppm.
72,Cleaning & Sanitizing,La concentración del sanitizante de amonio cuaternario debe seguir las instrucciones del fabricante.
73,Cleaning & Sanitizing,Las superficies de contacto con alimentos en uso continuo deben limpiarse y sanitizarse al menos cada 4 horas.
74,Cleaning & Sanitizing,El equipo sanitizado siempre debe dejarse secar al aire — nunca secarse con una toalla.
75,Cleaning & Sanitizing,Una máquina lavaplatos de alta temperatura debe alcanzar 180°F en la superficie de los platos durante el enjuague final.
76,Cleaning & Sanitizing,Una máquina lavaplatos de baja temperatura usa sanitizante químico y requiere un enjuague mínimo de 120°F.
77,Cleaning & Sanitizing,Los paños para limpiar deben almacenarse en solución sanitizante entre usos — nunca en agua simple.
78,Cleaning & Sanitizing,Las tiras reactivas deben usarse para verificar la concentración del sanitizante — siempre verificar primero la fecha de vencimiento.
79,Cleaning & Sanitizing,Una tabla de cortar con profundas marcas de cuchillo no puede sanitizarse efectivamente y debe reemplazarse.
80,Cleaning & Sanitizing,Las máquinas de hielo deben limpiarse regularmente según las instrucciones del fabricante para prevenir moho y bacterias.
81,Facility & Equipment,Los lavamanos deben usarse solo para lavado de manos — nunca para preparar alimentos o enjuagar equipos.
82,Facility & Equipment,"Cada lavamanos debe estar abastecido con jabón, toallas de un solo uso y un basurero en todo momento."
83,Facility & Equipment,Un lavamanos debe proporcionar agua corriente a una temperatura mínima de 100°F.
84,Facility & Equipment,Debe colocarse un letrero recordatorio de lavado de manos en cada lavamanos.
85,Facility & Equipment,El equipo montado en el suelo debe elevarse al menos 15 cm del suelo para permitir la limpieza debajo.
86,Facility & Equipment,Las luminarias en las áreas de preparación de alimentos deben tener cubiertas resistentes a roturas para prevenir contaminación por vidrio.
87,Facility & Equipment,"La iluminación adecuada en un cuarto frío permite al personal leer etiquetas, verificar fechas e identificar deterioro."
88,Facility & Equipment,Un drenaje obstruido en un área de preparación de alimentos es un peligro inmediato para la salud — debe detenerse la preparación.
89,Facility & Equipment,Los contenedores de basura en las áreas de preparación deben tener tapas de ajuste hermético para disuadir plagas.
90,Facility & Equipment,Un dispositivo de prevención de reflujo evita que el agua contaminada regrese al suministro de agua potable.
91,Pest Management,"La estrategia más efectiva de prevención de plagas es eliminar las fuentes de alimento, agua y refugio."
92,Pest Management,"Todas las grietas, fisuras y aberturas en paredes exteriores, pisos y puertas deben sellarse para prevenir la entrada de plagas."
93,Pest Management,Las puertas de cierre automático y los burletes trabajan juntos para evitar que las plagas entren por las puertas exteriores.
94,Pest Management,Las mallas de ventanas deben ajustar bien y estar en buen estado en cualquier área de preparación con ventanas operables.
95,Pest Management,"Los excrementos, materiales de nidificación y marcas de mordeduras son las señales tempranas más comunes de infestación."
96,Pest Management,Solo un operador de control de plagas con licencia puede aplicar pesticidas en una instalación de servicio de alimentos.
97,Pest Management,Las cajas de cartón proporcionan alojamiento ideal para cucarachas y deben retirarse de la instalación rápidamente.
98,Pest Management,Las infestaciones de cucarachas a menudo producen un olor distintivo a humedad y aceite además de excrementos visibles.
99,Pest Management,Los roedores pueden entrar por una abertura tan pequeña como una moneda — todas las aberturas deben sellarse.
100,Pest Management,Las moscas de la fruta se reproducen en los desagües y bandejas — mantenerlos limpios elimina sus sitios de reproducción.
101,Pest Management,Las trampas de luz para moscas deben colocarse lejos de los alimentos para evitar que los insectos muertos caigan en ellos.
102,Pest Management,Los informes de inspección de control de plagas deben revisarse después de cada visita y actuar sobre los hallazgos de inmediato.
103,Food Safety Management,El encargado debe estar presente y tener conocimiento de seguridad alimentaria en todo momento durante la operación.
104,Food Safety Management,El control activo del gerente significa identificar y corregir los riesgos de seguridad alimentaria antes de que causen enfermedades.
105,Food Safety Management,HACCP son las siglas de Análisis de Peligros y Puntos Críticos de Control.
106,Food Safety Management,"Los tres tipos de peligros de seguridad alimentaria son biológicos, químicos y físicos."
107,Food Safety Management,"Un punto de control crítico es un paso en el manejo de alimentos donde un peligro puede prevenirse, eliminarse o reducirse."
108,Food Safety Management,"Cuando no se cumple un punto de control crítico, deben tomarse medidas correctivas de inmediato."
109,Food Safety Management,Los registros de seguridad alimentaria proporcionan prueba escrita de que se realizaron el monitoreo y las acciones correctivas.
110,Food Safety Management,Un retiro de alimentos requiere la eliminación inmediata del producto afectado del servicio.
111,Food Safety Management,Varios empleados que reportan enfermedades estomacales el mismo día pueden indicar un brote de enfermedad transmitida por alimentos.
112,Food Safety Management,La diferencia entre restricción y exclusión es que la restricción limita las funciones mientras que la exclusión retira completamente al manipulador.
113,General,Las enfermedades transmitidas por alimentos afectan a un estimado de 48 millones de estadounidenses cada año.
114,General,"Los cinco principales factores de riesgo para enfermedades transmitidas por alimentos son: temperaturas de mantenimiento inadecuadas, cocción insuficiente, higiene personal deficiente, equipo contaminado y fuentes de alimentos inseguras."
115,General,La mayoría de las enfermedades transmitidas por alimentos son prevenibles con la aplicación consistente de prácticas básicas de seguridad alimentaria.
116,General,El Norovirus es la causa más común de enfermedades transmitidas por alimentos en los Estados Unidos.
117,General,Las bacterias se multiplican más rápidamente entre 70°F y 125°F — la parte media de la zona de peligro de temperatura.
118,General,"En condiciones ideales, una sola bacteria puede multiplicarse a más de un millón en solo 10 horas."
119,General,TCS son las siglas de Control de Temperatura para Seguridad.
120,General,El examen ServSafe consta de 90 preguntas y requiere una puntuación del 75% o más para aprobar.
121,General,"Una cultura de seguridad alimentaria comienza con la gerencia — cuando los gerentes toman en serio la seguridad alimentaria, el personal los sigue."
122,General,"Ante la duda, deséchalo — el costo de desechar alimentos siempre es menor que el costo de un brote de enfermedad transmitida por alimentos."
