ID,DOT,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Category,Subcategory,Explanation,MustInclude,Difficulty
21,3-401.11,¿Cuál es la temperatura interna mínima de cocción para frutas y verduras cocinadas para mantenimiento en caliente?,135°F,165°F,155°F,145°F,1,Time & Temperature,Cooking,"Las frutas y verduras cocinadas para mantenimiento en caliente deben alcanzar 135°F, lo que destruye los patógenos que pueden crecer en los productos mientras preserva la calidad.",0,2
22,3-501.14,¿Cuál es el requisito de enfriamiento en dos etapas para los alimentos TCS?,"De 135°F a 70°F en 4 horas, luego a 41°F en 2 horas","De 135°F a 70°F en 3 horas, luego a 41°F en 3 horas más","De 135°F a 70°F en 2 horas, luego a 41°F en 4 horas más",De 135°F a 41°F en un total de 6 horas,3,Time & Temperature,Cooling,"El requisito de enfriamiento en dos etapas es: de 135°F a 70°F en 2 horas, luego de 70°F a 41°F en las siguientes 4 horas, para un tiempo total de enfriamiento de 6 horas.",0,3
23,3-501.14,¿Qué debe hacer si el alimento no se ha enfriado de 135°F a 70°F en 2 horas?,Moverlo al congelador para acelerar el enfriamiento,Transferirlo a una bandeja más plana y continuar el enfriamiento,Continuar enfriando y verificar nuevamente en 30 minutos,Recalentarlo a 165°F y reiniciar el proceso de enfriamiento,4,Time & Temperature,Cooling,"Si la primera etapa de enfriamiento falla, el alimento debe recalentarse a 165°F y reiniciarse el proceso de enfriamiento. Continuar enfriando alimento no seguro no es aceptable.",0,2
24,3-501.15,¿Cuál es el mejor tipo de recipiente para enfriar alimento caliente rápidamente?,Una olla profunda con tapa,Una bandeja poco profunda con gran superficie,Un recipiente plástico sellado,Una bandeja de hotel estándar con tapa,2,Time & Temperature,Cooling,"Las bandejas poco profundas tienen una gran relación de superficie a volumen, lo que permite que el calor escape más rápidamente y ayuda al alimento a enfriarse a través de la zona de peligro más rápido.",0,2
25,3-501.15,¿Cuál es el método correcto para enfriar alimento en bandejas poco profundas?,Colocarlas tapadas en el estante superior,Apilarlas para ahorrar espacio en el cuarto frío,Colocarlas sin tapa en el cuarto frío para permitir que el calor escape,Envolverlas herméticamente con plástico para evitar contaminación,3,Time & Temperature,Cooling,Las bandejas poco profundas colocadas sin tapa en el cuarto frío permiten que el calor escape desde una gran superficie y que el aire frío circule alrededor del alimento.,0,2
26,3-501.14,¿Cuál es el mejor método para enfriar rápidamente una olla grande de chili?,Agregar agua fría directamente a la olla para bajar la temperatura,Dejarlo sin tapa a temperatura ambiente hasta que deje de echar vapor,Usar una paleta de hielo y colocar la olla en un baño de hielo,Dividir en recipientes más pequeños tapados y refrigerar,3,Time & Temperature,Cooling,"Una paleta de hielo agitada en el chili, combinada con un baño de hielo alrededor del recipiente, extrae el calor del centro y del exterior simultáneamente.",0,3
27,3-501.16,¿Cuántas horas acumuladas puede permanecer el alimento TCS frío por encima de 41°F antes de ser descartado?,6 horas,8 horas,2 horas,4 horas,4,Time & Temperature,Cold Holding,El alimento TCS frío que sube por encima de 41°F entra en la zona de peligro de temperatura y debe descartarse después de un total acumulado de 4 horas en ese rango.,0,2
28,3-501.16,Se encuentra alimento mantenido en frío a 50°F. ¿Qué debe hacer?,Descartarlo a menos que pueda confirmar que ha estado por encima de 41°F por menos de 4 horas,Transferirlo inmediatamente a una unidad más fría,Servirlo de inmediato antes de que se caliente más,Agregar hielo para bajar la temperatura y continuar manteniéndolo,1,Time & Temperature,Cold Holding,"El alimento frío a 50°F ha estado en la zona de peligro. A menos que pueda confirmar que ha estado ahí menos de 4 horas en total, debe descartarlo.",0,2
29,3-501.19,¿Qué debe hacerse al mantener alimento frío sin control de temperatura?,Mantenerlo tapado en todo momento para frenar el calentamiento,Etiquetarlo con la hora en que debe descartarse,Revolverlo cada hora para distribuir la temperatura,Agregar hielo cada 2 horas para mantener la seguridad,2,Time & Temperature,Time as Control,"Al usar el tiempo como control, el alimento frío debe etiquetarse con la hora en que debe descartarse para que el personal pueda rastrear el máximo de 6 horas y evitar servir alimento no seguro.",0,2
30,3-501.16,"Al usar el tiempo como control de salud pública para alimento caliente, ¿cuál es el tiempo máximo de mantenimiento permitido?",8 horas,4 horas,6 horas,2 horas,2,Time & Temperature,Time as Control,"Al usar el tiempo como control de salud pública para alimento caliente, el tiempo máximo permitido es 4 horas, después de lo cual el alimento debe descartarse.",0,2
31,3-501.16,El alimento mantenido en caliente ha estado por debajo de 135°F por más de 4 horas acumuladas. ¿Qué debe hacer?,Servirlo inmediatamente para limpiar el lote,Agregar agua caliente para elevar la temperatura,Recalentarlo a 165°F y devolverlo a la mesa de vapor,Descartarlo,4,Time & Temperature,Hot Holding,El alimento que ha estado por debajo de 135°F por más de 4 horas acumuladas ha excedido el límite de tiempo seguro en la zona de peligro y debe descartarse.,0,2
32,3-501.17,¿Cuál es la temperatura correcta de recepción para el alimento TCS frío?,32°F o menos,41°F o menos,50°F o menos,45°F o menos,2,Time & Temperature,Date Marking,El alimento TCS frío debe recibirse a 41°F o menos para asegurar que se ha mantenido fuera de la zona de peligro de temperatura durante el transporte.,0,2
33,3-302.11,¿Dónde deben almacenarse las aves de corral crudas en un cuarto frío?,En el estante más bajo por debajo de todos los demás alimentos,Junto a la carne de res cruda en el mismo estante,Por encima de los mariscos crudos,En el estante del medio lejos de los productos frescos,1,Cross-Contamination,Storage Order,Las aves de corral crudas se almacenan en el estante más bajo porque tienen la temperatura de cocción requerida más alta y representan el mayor riesgo de cross-contamination si gotean.,0,2
34,3-302.11,¿Cuál es el orden correcto de almacenamiento en refrigerador de arriba hacia abajo?,Cortes enteros – Mariscos – Carne molida – Ready-to-eat – Aves,Ready-to-eat – Mariscos – Cortes enteros – Carne molida – Aves,Carne molida – Aves – Cortes enteros – Mariscos – Ready-to-eat,Mariscos – Cortes enteros – Carne molida – Aves – Ready-to-eat,2,Cross-Contamination,Storage Order,Los alimentos se almacenan por temperatura mínima de cocción requerida con ready-to-eat arriba y aves al fondo para evitar que los artículos de mayor riesgo goteen sobre los de menor riesgo.,0,3
35,3-302.11,¿Qué tabla de cortar debe usarse para el pollo crudo?,Una tabla designada solo para aves,Una tabla usada solo para proteínas crudas,Cualquier tabla limpia y sanitizada,Una tabla que no se haya usado en ese turno,1,Cross-Contamination,Equipment Use,Una tabla de cortar dedicada para aves previene que los patógenos del pollo crudo contaminen productos frescos o alimentos ready-to-eat preparados en la misma superficie.,0,3
36,3-304.11,¿Cuál de los siguientes es un ejemplo de cross-contamination?,Enjuagar guantes entre tareas en lugar de cambiarlos,Usar tablas de cortar codificadas por colores para diferentes alimentos,Almacenar carne cruda por debajo de los alimentos ready-to-eat,Usar las mismas pinzas para pollo crudo y cocido,4,Cross-Contamination,General,"Usar las mismas pinzas para pollo crudo y cocido transfiere patógenos directamente a alimentos que no se cocinarán nuevamente, lo cual es cross-contamination.",0,2
37,3-304.11,¿Cuál de los siguientes es un ejemplo de prevención de cross-contamination?,Usar los mismos guantes para todas las tareas para ahorrar tiempo,Almacenar carne cruda en el estante sobre las ensaladas ready-to-eat,Usar una tabla de cortar para todos los alimentos y sanitizar entre usos,Usar equipo separado para alimentos crudos y ready-to-eat,4,Cross-Contamination,General,El equipo dedicado para alimentos crudos versus ready-to-eat asegura que los patógenos de los productos crudos nunca entren en contacto con alimentos que se sirven sin cocción adicional.,0,2
38,3-304.14,¿Con qué frecuencia deben analizarse los cubos de sanitizante durante el día?,Solo cuando la solución se vea turbia o decolorada,Una vez al abrir y una vez al cerrar,Regularmente durante el turno para mantener la concentración adecuada,Solo al inicio de cada turno,3,Cross-Contamination,Sanitizer Use,La solución sanitizante se degrada con el tiempo y el uso. Las pruebas regulares con tiras reactivas aseguran que mantenga la concentración necesaria para matar patógenos eficazmente.,0,2
39,3-304.14,¿Con qué frecuencia deben reemplazarse los trapos almacenados en solución sanitizante?,Cada 2 horas según un horario fijo,Cada hora independientemente de su condición,Al inicio de cada nueva tarea,Cuando la solución se ensucie o pierda concentración,4,Cross-Contamination,Sanitizer Use,La solución sanitizante pierde efectividad cuando se ensucia o diluye. Los trapos deben colocarse en solución fresca para mantener la potencia sanitizante adecuada.,0,2
40,3-304.14,¿Qué debe hacerse con un trapo usado para limpiar un derrame de carne cruda?,Continuar usándolo ya que ya está sucio,Guardarlo en el cubo de sanitizante y usarlo en otras superficies,Enjuagarlo bien y devolverlo al cubo de sanitizante,Lavarlo o descartarlo — no reutilizarlo en otras superficies,4,Cross-Contamination,Sanitizer Use,Los trapos usados en derrames de carne cruda están muy contaminados y deben lavarse o descartarse. Enjuagarlos o guardarlos en sanitizante no los hace seguros para otras superficies.,0,2
41,3-302.12,¿Cuál es la forma correcta de manejar los alérgenos durante la preparación de alimentos?,Lavarse las manos entre tareas con y sin alérgenos,Usar equipo separado dedicado a artículos libres de alérgenos,Usar guantes al manipular ingredientes con alérgenos,Preparar los artículos libres de alérgenos en una superficie recién sanitizada,2,Cross-Contamination,Allergens,El contacto cruzado con alérgenos puede ocurrir incluso con cantidades mínimas. El equipo separado evita que las proteínas alérgenas lleguen a comidas que se pretende sean libres de alérgenos.,0,2
42,3-302.11,¿Cuándo deben prepararse las comidas libres de alérgenos?,"Primero, antes de manipular cualquier alimento con alérgenos, o por separado con equipo dedicado",Durante los períodos más tranquilos cuando la cocina está menos ocupada,"Al final, para que el equipo dedicado pueda limpiarse después",Después de completar todos los demás pedidos,1,Cross-Contamination,Allergens,"Las comidas libres de alérgenos deben prepararse primero, antes de manipular alimentos con alérgenos, o por separado usando equipo dedicado para evitar el contacto cruzado.",0,2
43,3-602.11,¿Qué debe incluirse en un artículo de alimento empacado que contiene alérgenos?,Una declaración que liste los alérgenos que contiene,El nombre del empleado que lo preparó,Las instrucciones de almacenamiento del artículo,La fecha y hora de preparación,1,Cross-Contamination,Allergens,Una declaración de alérgenos en el alimento empacado es obligatoria para que los clientes con alergias alimentarias puedan tomar decisiones informadas y seguras.,1,2
44,3-302.11,¿Cuál de los siguientes alimentos es uno de los nueve alérgenos principales reconocidos por la FDA?,Maíz,Tomates,Ajo,Cacahuates,4,Cross-Contamination,Allergens,Los cacahuates son uno de los nueve alérgenos alimentarios principales reconocidos por la FDA y una de las causas más comunes de reacciones anafilácticas graves.,0,2
45,3-302.11,¿Qué alimento tiene más probabilidad de causar una reacción alérgica grave?,Nueces de árbol,Arroz blanco,Ejotes,Zanahorias,1,Cross-Contamination,Allergens,Las nueces de árbol son uno de los nueve alérgenos alimentarios principales y una de las causas más comunes de reacciones alérgicas potencialmente mortales.,0,2
46,3-302.11,¿Cómo deben almacenarse los ingredientes con alérgenos?,Por separado de otros ingredientes y claramente etiquetados,En el estante más bajo para evitar goteos,Junto con otros ingredientes para ahorrar espacio,Junto a las proteínas crudas para fácil identificación,1,Cross-Contamination,Allergens,Los ingredientes con alérgenos almacenados por separado y claramente etiquetados evitan el uso accidental en platillos libres de alérgenos y permiten al personal identificarlos rápidamente.,0,2
47,3-304.11,¿Cuál de los siguientes previene mejor el contacto cruzado con alérgenos?,Usar utensilios separados dedicados a la preparación de comidas libres de alérgenos,Preparar primero los platillos con alérgenos,Lavar utensilios entre tareas con y sin alérgenos,Almacenar los alérgenos con otros ingredientes en el mismo estante,1,Cross-Contamination,Allergens,Usar utensilios separados para las comidas libres de alérgenos evita que las proteínas alérgenas se transfieran a alimentos que un cliente cree que son seguros para su alergia.,0,1
48,3-304.15,¿Cuándo deben cambiarse los guantes desechables?,Solo cuando estén visiblemente rotos o sucios,"Después de manipular carne cruda, tocar superficies que no son de contacto con alimentos, o después de uso prolongado",Después de cada 30 minutos de uso continuo,Después de completar cada tarea individual,2,Cross-Contamination,Glove Use,"Los guantes deben cambiarse después de manipular carne cruda, después de tocar superficies que no son de contacto con alimentos, y después de uso prolongado para evitar transferir contaminación.",0,2
49,3-304.15,¿Cuándo deben cambiar sus guantes los manipuladores de alimentos?,Solo al pasar de proteínas crudas a productos frescos,Solo después de 4 horas de uso continuo,Al cambiar entre tareas con diferentes alimentos o superficies,Solo cuando los guantes estén visiblemente sucios,3,Cross-Contamination,Glove Use,"Los guantes deben cambiarse al cambiar de tarea, después de uso prolongado, y después de tocar superficies que no son de contacto con alimentos. Las tres situaciones requieren guantes nuevos.",0,2
50,3-302.11,¿Dónde deben almacenarse los productos químicos en un establecimiento de servicio de alimentos?,En el estante superior encima de los productos secos,En un área designada lejos de todos los alimentos y equipos de contacto con alimentos,Junto al equipo de limpieza para fácil acceso,Bajo la mesa de preparación cuando no se usen,2,Cross-Contamination,Chemical Safety,Los productos químicos deben almacenarse lejos de todos los alimentos y equipos de contacto con alimentos para evitar la contaminación química accidental.,0,2
51,3-302.11,¿Qué debe hacerse si se encuentran productos químicos almacenados cerca de los alimentos?,Dejarlos si los recipientes están sellados,Almacenarlos en el estante superior del área de productos secos,Moverlos inmediatamente a un área de almacenamiento designada lejos de los alimentos,Colocarlos bajo la mesa de preparación fuera del camino,3,Cross-Contamination,Chemical Safety,"Los productos químicos almacenados cerca de los alimentos representan un riesgo de contaminación incluso sellados, debido a derrames, fugas o identificación errónea. Siempre deben almacenarse en un área separada designada.",0,2
52,2-301.12,¿Cuánto tiempo deben frotarse las manos durante el lavado?,30 a 60 segundos,20 a 30 segundos,10 a 15 segundos,5 a 8 segundos,3,Personal Hygiene,Handwashing,Frotar por 10 a 15 segundos con jabón crea suficiente fricción para eliminar patógenos y suciedad de las manos y entre los dedos.,0,2
53,2-301.14,¿Cuándo deben lavarse las manos los manipuladores de alimentos?,Solo después de usar el baño,Después de cada tarea individual durante el turno,"Después de usar el baño, tocar carne cruda, y antes de ponerse guantes",Solo al pasar entre áreas de alimentos crudos y cocidos,3,Personal Hygiene,Handwashing,"El lavado de manos es obligatorio después de usar el baño, antes de ponerse guantes, y después de tocar carne cruda. Los tres son momentos obligatorios de higiene de manos.",0,2
54,2-301.12,¿Qué acción requiere que un manipulador de alimentos se lave las manos?,Manipular equipo sucio,Estar cerca del área de preparación,Hablar con un compañero de trabajo,Caminar por el área del comedor,1,Personal Hygiene,Handwashing,"Manipular equipo sucio introduce patógenos en las manos, requiriendo lavado de manos inmediato antes de regresar a la preparación de alimentos.",0,2
55,2-301.12,¿Qué acción requiere lavado de manos?,Tocar una mesa de preparación,Hablar con un compañero que usa mascarilla,Manipular aves de corral crudas,Caminar por el comedor,3,Personal Hygiene,Handwashing,"Manipular aves de corral crudas introduce patógenos en las manos, requiriendo lavado de manos inmediato antes de tocar cualquier otra superficie o alimento.",0,1
56,2-301.13,¿Cuál es la temperatura mínima del agua requerida para el lavado de manos?,Al menos 80°F,Al menos 100°F,Al menos 90°F,Al menos 120°F,2,Personal Hygiene,Handwashing,El agua debe estar al menos a 100°F para eliminar eficazmente aceites y patógenos de la piel durante el lavado de manos correcto.,0,2
57,2-301.13,¿Cuál es la secuencia correcta para el lavado de manos?,Mojarse las manos – Frotar sin jabón – Aplicar jabón – Enjuagar – Secar,Enjuagar – Aplicar jabón – Frotar – Mojar manos – Secar,Aplicar jabón – Frotar – Mojarse las manos – Enjuagar – Secar,Mojarse las manos – Aplicar jabón – Frotar 10-15 segundos – Enjuagar – Secar,4,Personal Hygiene,Handwashing,"La secuencia correcta de lavado de manos es: mojar manos, aplicar jabón, frotar 10 a 15 segundos, enjuagar bien, y secar con una toalla de un solo uso o secador de aire.",0,2
58,2-301.15,¿Cuándo es aceptable usar un antiséptico para manos?,Como reemplazo del lavado de manos antes de ponerse guantes,Como suplemento después de completar el lavado de manos correcto,Cuando los lavamanos estén ocupados,Cuando las manos no estén visiblemente sucias,2,Personal Hygiene,Handwashing,"El antiséptico para manos solo puede usarse después del lavado de manos correcto. Es un suplemento, no un reemplazo, y no elimina la suciedad ni la materia orgánica.",0,2
59,2-303.11,¿Qué tipo de joyería está permitida para los manipuladores de alimentos?,Una pulsera de alerta médica,Un anillo de banda simple sin piedras ni engastes,Una pulsera de cadena delgada,Una pulsera de silicona,2,Personal Hygiene,Jewelry,"Un anillo de banda simple es la única joyería permitida porque no tiene hendiduras donde se puedan atrapar partículas de alimento o patógenos, a diferencia de pulseras, relojes o anillos con piedras.",0,2
60,2-303.11,¿Por qué un anillo de banda simple es la única joyería que puede usar un manipulador de alimentos?,Es más fácil ponerse guantes sobre una banda simple,Se ve más profesional en la cocina,Su superficie lisa tiene mucho menos probabilidad de albergar bacterias que los anillos con piedras o engastes,Es requerido por la mayoría de los códigos de salud locales,3,Personal Hygiene,Jewelry,"Un anillo de banda simple tiene una superficie lisa sin engastes ni hendiduras, lo que lo hace mucho menos propenso a albergar bacterias en comparación con anillos ornamentados o con gemas.",0,2
61,2-303.11,¿Por qué está restringida la joyería para los manipuladores de alimentos?,Puede caer en el alimento y causar un peligro físico,Interfiere con ponerse los guantes correctamente,Se ve poco profesional en un establecimiento de servicio de alimentos,Sus ranuras y hendiduras pueden albergar patógenos que el lavado de manos no puede eliminar completamente,4,Personal Hygiene,Jewelry,"La joyería tiene ranuras y hendiduras que atrapan humedad, partículas de alimento y patógenos, haciendo imposible el lavado de manos completo y aumentando el riesgo de contaminación.",0,2
62,2-201.11,¿Cuándo debe excluirse a un manipulador de alimentos del establecimiento?,Cuando le diagnostican Norovirus,Cuando tiene dolor de garganta leve,Cuando tiene un corte infectado en el dedo,Cuando se siente cansado después de un turno largo,1,Personal Hygiene,Illness,Un diagnóstico de Norovirus requiere exclusión del establecimiento porque es una enfermedad altamente contagiosa que puede transmitirse a través del manejo de alimentos.,0,2
63,2-201.11,¿Qué síntoma requiere que un manipulador de alimentos sea excluido del establecimiento?,Fatiga,Ictericia,Dolor de cabeza,Dolor de garganta sin fiebre,2,Personal Hygiene,Illness,"La ictericia es un síntoma de Hepatitis A, una enfermedad transmitida por alimentos altamente contagiosa que requiere exclusión inmediata del establecimiento y reporte a la autoridad de salud.",0,2
64,2-201.12,¿Qué debe hacer un gerente si un manipulador de alimentos reporta vómitos en el trabajo?,Monitorear sus síntomas y reevaluar después de una hora,Reasignarlo a tareas de limpieza lejos de alimentos expuestos,Excluirlo completamente del establecimiento,Hacer que use guantes y mascarilla y continúe trabajando,3,Personal Hygiene,Illness,Los vómitos son síntoma de posible enfermedad transmitida por alimentos y requieren exclusión total. Reasignar a tareas sin alimentos no es suficientemente seguro para este síntoma.,0,1
65,2-201.12,¿Qué debe hacer un gerente cuando a un manipulador de alimentos le diagnostican Hepatitis A?,Permitirle trabajar con guantes y mascarilla,Notificar a la autoridad reguladora y excluir al manipulador de alimentos,Reasignarlo solo a tareas sin alimentos,Hacer que use mascarilla y monitoree síntomas diariamente,2,Personal Hygiene,Illness,La Hepatitis A es una enfermedad de reporte obligatorio. El gerente debe notificar a la autoridad reguladora inmediatamente y excluir al manipulador de alimentos del establecimiento.,0,2
66,2-401.11,¿Qué debe hacer un manipulador de alimentos si está tosiendo y estornudando?,Trabajar solo en áreas alejadas de alimentos expuestos,Quedarse en casa o ser reasignado lejos del manejo de alimentos,Usar guantes y mascarilla mientras trabaja,Aumentar la frecuencia de lavado de manos durante el turno,2,Personal Hygiene,Illness,Toser y estornudar puede transmitir patógenos respiratorios a los alimentos. Un manipulador con estos síntomas debe quedarse en casa o ser reasignado lejos de los alimentos.,0,2
67,2-401.11,¿Qué debe hacer un manipulador de alimentos con tos persistente?,Aumentar el lavado de manos y el uso de guantes,Trabajar solo con ingredientes crudos que se cocinarán completamente,Usar mascarilla y continuar trabajando,Evitar trabajar directamente con alimentos,4,Personal Hygiene,Illness,Una tos persistente puede transmitir gotículas respiratorias y posibles patógenos a los alimentos y superficies de contacto. El manipulador no debe trabajar con alimentos.,0,2
68,4-601.11,¿Qué debe hacerse con una tabla de cortar que tiene ranuras o cortes profundos?,Remojarla toda la noche en solución sanitizante,Sanitizarla con mayor frecuencia para compensar,Reservarla solo para productos secos,Reemplazarla por una tabla nueva,4,Cleaning & Sanitizing,Equipment,Las ranuras profundas atrapan alimentos y bacterias que no pueden eliminarse con lavado o sanitización. La tabla debe reemplazarse para mantener una superficie de contacto con alimentos segura.,0,2
69,4-601.11,¿Qué debe hacerse con el equipo que no puede limpiarse o sanitizarse correctamente?,Usarlo solo durante los períodos tranquilos cuando el riesgo es menor,Reservarlo solo para almacenamiento de productos secos,Retirarlo del servicio,Sanitizarlo con mayor frecuencia para compensar,3,Cleaning & Sanitizing,Equipment,El equipo que no puede limpiarse completamente alberga bacterias independientemente de la frecuencia de sanitización y debe retirarse del servicio para proteger la seguridad alimentaria.,0,2
70,4-601.11,¿Qué debe hacerse con los utensilios almacenados en agua estancada por debajo de 135°F?,Moverlos a un área de almacenamiento seco,Recalentar el agua a 165°F y continuar usándolos,Continuar usándolos ya que están sumergidos en líquido,Descartar los utensilios y reemplazarlos con unos limpios,4,Cleaning & Sanitizing,Utensil Storage,El agua estancada por debajo de 135°F está en la zona de peligro de temperatura y puede albergar bacterias. Los utensilios almacenados de esta forma están contaminados y deben reemplazarse.,0,3
